Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,0 to 15,108,4,95,0,9,0,0,0,5,0
,16 to 19,18,0,14,0,2,2,0,0,2,3
,20 to 24,63,0,50,1,7,3,0,2,7,2
,25 to 34,92,0,76,0,12,3,0,1,6,4
,35 to 49,152,0,138,0,11,0,0,3,8,2
,50 to 64,145,0,138,0,5,1,0,1,5,2
,65 to 74,95,0,92,0,3,0,0,0,1,1
,75 and over,102,0,92,0,9,1,0,0,2,0
S01004111,All people,798,5,707,1,60,13,7,5,48,22
,0 to 15,102,5,88,0,7,1,1,0,5,0
,16 to 19,33,0,28,0,5,0,0,0,1,5
,20 to 24,27,0,18,1,5,2,1,0,3,6
,25 to 34,77,0,60,0,12,4,0,1,13,2
,35 to 49,196,0,172,0,15,4,1,4,17,4
,50 to 64,194,0,185,0,7,1,1,0,4,4
,65 to 74,89,0,85,0,1,1,2,0,1,0
,75 and over,80,0,71,0,8,0,1,0,4,1
S01004112,All people,839,6,761,4,41,18,4,5,38,9
,0 to 15,96,6,85,0,1,2,1,1,13,0
,16 to 19,33,0,33,0,0,0,0,0,0,2
,20 to 24,36,0,31,0,0,5,0,0,5,2
,25 to 34,47,0,39,0,5,1,1,1,7,2
,35 to 49,170,0,156,0,8,3,1,2,9,1
,50 to 64,194,0,186,0,6,1,0,1,0,2
,65 to 74,100,0,88,0,7,4,1,0,2,0
,75 and over,163,0,143,4,14,2,0,0,2,0
S01004113,All people,729,5,689,3,28,1,1,2,22,6
,0 to 15,136,5,127,0,3,1,0,0,8,0
,16 to 19,39,0,37,0,1,0,0,1,0,0
,20 to 24,35,0,27,1,7,0,0,0,4,0
,25 to 34,62,0,56,0,5,0,0,1,5,0
,35 to 49,186,0,179,2,5,0,0,0,4,2
,50 to 64,114,0,109,0,5,0,0,0,0,4
,65 to 74,68,0,65,0,2,0,1,0,1,0
,75 and over,89,0,89,0,0,0,0,0,0,0
S01004114,All people,643,10,569,1,56,7,0,0,47,15
,0 to 15,61,10,49,0,2,0,0,0,7,0
,16 to 19,20,0,14,0,6,0,0,0,0,1
,20 to 24,34,0,19,0,12,3,0,0,8,2
,25 to 34,85,0,71,0,13,1,0,0,18,6
,35 to 49,127,0,117,1,7,2,0,0,6,6
,50 to 64,119,0,112,0,6,1,0,0,6,0
,65 to 74,95,0,92,0,3,0,0,0,1,0
,75 and over,102,0,95,0,7,0,0,0,1,0
S01004115,All people,749,4,706,1,28,4,5,1,24,16
,0 to 15,79,4,70,0,4,0,1,0,2,0
,16 to 19,22,0,22,0,0,0,0,0,0,3
,20 to 24,36,0,35,0,0,0,0,1,2,2
,25 to 34,39,0,32,1,4,0,2,0,5,9
,35 to 49,102,0,94,0,6,0,2,0,4,1
,50 to 64,179,0,176,0,1,2,0,0,2,0
,65 to 74,104,0,103,0,1,0,0,0,0,0
,75 and over,188,0,174,0,12,2,0,0,9,1
S01004116,All people,674,6,610,2,43,5,3,5,15,13
,0 to 15,83,6,67,0,8,1,1,0,2,3
,16 to 19,33,0,30,0,2,0,0,1,0,1
,20 to 24,39,0,33,0,5,0,0,1,5,2
,25 to 34,54,0,41,0,7,3,2,1,4,2
,35 to 49,121,0,115,0,6,0,0,0,2,4
,50 to 64,143,0,140,0,2,0,0,1,0,1
,65 to 74,82,0,79,0,2,0,0,1,0,0
,75 and over,119,0,105,2,11,1,0,0,2,0
S01004117,All people,748,11,663,4,55,9,2,4,41,16
,0 to 15,91,11,70,0,10,0,0,0,8,1
,16 to 19,31,0,25,1,4,1,0,0,1,1
,20 to 24,39,0,30,0,6,1,2,0,6,2
,25 to 34,111,0,90,2,14,4,0,1,9,4
,35 to 49,174,0,151,1,19,2,0,1,8,4
,50 to 64,156,0,152,0,1,1,0,2,5,4
,65 to 74,92,0,91,0,1,0,0,0,0,0
,75 and over,54,0,54,0,0,0,0,0,4,0
S01004118,All people,899,8,782,3,73,23,1,9,67,9
,0 to 15,91,8,68,0,12,1,0,2,9,0
,16 to 19,29,0,16,0,9,3,0,1,5,1
,20 to 24,33,0,21,0,8,2,1,1,8,2
,25 to 34,111,0,86,0,21,3,0,1,14,5
,35 to 49,183,0,159,2,13,6,0,3,18,1
,50 to 64,170,0,156,1,6,6,0,1,6,0
,65 to 74,133,0,129,0,3,1,0,0,2,0
,75 and over,149,0,147,0,1,1,0,0,5,0
S01004119,All people,490,9,419,4,49,8,0,1,36,9
,0 to 15,42,9,26,0,6,1,0,0,6,2
,16 to 19,21,0,14,0,7,0,0,0,0,0
,20 to 24,20,0,17,1,2,0,0,0,1,1
,25 to 34,70,0,59,2,7,2,0,0,12,4
,35 to 49,109,0,87,1,17,3,0,1,10,1
,50 to 64,100,0,97,0,3,0,0,0,1,1
,65 to 74,56,0,49,0,5,2,0,0,3,0
,75 and over,72,0,70,0,2,0,0,0,3,0
S01004120,All people,706,4,629,0,45,11,3,14,14,14
,0 to 15,63,4,51,0,3,3,0,2,1,0
,16 to 19,27,0,17,0,9,0,0,1,1,2
,20 to 24,39,0,28,0,8,1,0,2,0,3
,25 to 34,46,0,40,0,2,3,0,1,5,3
,35 to 49,101,0,80,0,12,4,0,5,2,0
,50 to 64,192,0,182,0,6,0,1,3,0,5
,65 to 74,131,0,127,0,2,0,2,0,1,0
,75 and over,107,0,104,0,3,0,0,0,4,1
S01004121,All people,430,5,401,1,6,14,2,1,17,25
,0 to 15,58,5,49,0,2,1,1,0,3,4
,16 to 19,20,0,20,0,0,0,0,0,3,6
,20 to 24,11,0,10,0,0,0,0,1,5,3
,25 to 34,28,0,21,0,2,5,0,0,2,2
,35 to 49,114,0,107,1,1,4,1,0,2,4
,50 to 64,110,0,107,0,1,2,0,0,2,4
,65 to 74,48,0,46,0,0,2,0,0,0,0
,75 and over,41,0,41,0,0,0,0,0,0,2
S01004122,All people,900,10,773,7,33,60,9,8,35,48
,0 to 15,188,10,151,2,6,17,2,0,9,3
,16 to 19,29,0,26,0,0,2,1,0,3,11
,20 to 24,29,0,22,0,5,2,0,0,2,8
,25 to 34,105,0,79,0,8,10,3,5,6,11
,35 to 49,264,0,219,3,14,22,3,3,8,9
,50 to 64,169,0,162,0,0,7,0,0,5,5
,65 to 74,70,0,68,2,0,0,0,0,0,0
,75 and over,46,0,46,0,0,0,0,0,2,1
S01004123,All people,928,21,791,4,78,29,3,2,31,21
,0 to 15,235,21,183,2,22,6,1,0,5,4
,16 to 19,21,0,19,0,0,2,0,0,2,5
,20 to 24,39,0,31,0,7,1,0,0,3,0
,25 to 34,144,0,107,2,24,8,1,2,4,3
,35 to 49,239,0,211,0,19,8,1,0,10,6
,50 to 64,161,0,152,0,5,4,0,0,5,3
,65 to 74,51,0,51,0,0,0,0,0,2,0
,75 and over,38,0,37,0,1,0,0,0,0,0
S01004124,All people,"1,039",13,953,4,41,18,8,2,27,34
,0 to 15,204,13,180,0,8,1,2,0,4,5
,16 to 19,34,0,32,0,1,1,0,0,1,3
,20 to 24,64,0,49,2,5,6,1,1,5,9
,25 to 34,101,0,79,0,14,5,3,0,13,9
,35 to 49,235,0,219,0,10,5,1,0,2,5
,50 to 64,244,0,240,1,2,0,1,0,1,1
,65 to 74,101,0,98,1,1,0,0,1,1,2
,75 and over,56,0,56,0,0,0,0,0,0,0
S01004125,All people,656,3,613,1,17,21,1,0,24,11
,0 to 15,81,3,71,0,1,6,0,0,4,1
,16 to 19,24,0,24,0,0,0,0,0,0,1
,20 to 24,30,0,26,0,2,2,0,0,5,0
,25 to 34,46,0,37,0,1,8,0,0,6,4
,35 to 49,100,0,93,1,2,4,0,0,6,0
,50 to 64,155,0,151,0,3,1,0,0,0,3
,65 to 74,118,0,116,0,2,0,0,0,0,2
,75 and over,102,0,95,0,6,0,1,0,3,0
S01004126,All people,682,4,593,6,45,29,1,4,35,20
,0 to 15,55,4,49,0,1,1,0,0,3,1
,16 to 19,15,0,11,0,3,1,0,0,0,0
,20 to 24,50,0,27,0,15,7,1,0,6,1
,25 to 34,96,0,67,2,15,10,0,2,9,11
,35 to 49,135,0,127,1,4,3,0,0,7,3
,50 to 64,147,0,140,0,3,4,0,0,2,1
,65 to 74,83,0,74,3,2,2,0,2,2,3
,75 and over,101,0,98,0,2,1,0,0,6,0
S01004127,All people,860,5,840,0,7,7,0,1,15,32
,0 to 15,144,5,137,0,2,0,0,0,0,8
,16 to 19,57,0,57,0,0,0,0,0,0,4
,20 to 24,46,0,46,0,0,0,0,0,4,6
,25 to 34,60,0,54,0,1,4,0,1,5,6
,35 to 49,180,0,175,0,3,2,0,0,0,5
,50 to 64,220,0,218,0,1,1,0,0,5,1
,65 to 74,105,0,105,0,0,0,0,0,0,2
,75 and over,48,0,48,0,0,0,0,0,1,0
S01004128,All people,683,3,656,0,9,14,1,0,22,11
,0 to 15,96,3,85,0,4,4,0,0,6,1
,16 to 19,38,0,38,0,0,0,0,0,2,1
,20 to 24,37,0,36,0,0,1,0,0,3,5
,25 to 34,45,0,38,0,0,7,0,0,6,2
,35 to 49,118,0,113,0,2,2,1,0,4,0
,50 to 64,190,0,189,0,1,0,0,0,1,2
,65 to 74,92,0,90,0,2,0,0,0,0,0
,75 and over,67,0,67,0,0,0,0,0,0,0
S01004129,All people,728,5,665,0,34,17,6,1,20,20
,0 to 15,101,5,77,0,10,4,5,0,3,1
,16 to 19,36,0,32,0,1,3,0,0,0,1
,20 to 24,55,0,47,0,5,3,0,0,5,6
,25 to 34,58,0,46,0,8,3,0,1,7,4
,35 to 49,155,0,145,0,7,2,1,0,4,4
,50 to 64,208,0,204,0,2,2,0,0,1,3
,65 to 74,61,0,60,0,1,0,0,0,0,1
,75 and over,54,0,54,0,0,0,0,0,0,0
S01004130,All people,514,4,471,0,21,12,2,4,26,15
,0 to 15,93,4,82,0,3,2,0,2,8,0
,16 to 19,33,0,31,0,1,0,0,1,2,1
,20 to 24,34,0,25,0,7,1,1,0,3,5
,25 to 34,59,0,50,0,5,4,0,0,2,2
,35 to 49,94,0,84,0,4,4,1,1,8,3
,50 to 64,140,0,139,0,0,1,0,0,1,3
,65 to 74,42,0,42,0,0,0,0,0,0,1
,75 and over,19,0,18,0,1,0,0,0,2,0
S01004131,All people,809,11,720,6,56,15,1,0,53,17
,0 to 15,173,11,136,4,21,1,0,0,22,2
,16 to 19,41,0,35,0,5,1,0,0,6,0
,20 to 24,44,0,34,0,8,1,1,0,8,4
,25 to 34,99,0,81,0,15,3,0,0,9,7
,35 to 49,178,0,164,2,7,5,0,0,7,3
,50 to 64,142,0,138,0,0,4,0,0,1,0
,65 to 74,68,0,68,0,0,0,0,0,0,0
,75 and over,64,0,64,0,0,0,0,0,0,1
S01004132,All people,536,9,483,0,22,11,9,2,44,15
,0 to 15,96,9,75,0,5,0,7,0,16,2
,16 to 19,19,0,19,0,0,0,0,0,3,1
,20 to 24,47,0,34,0,8,3,0,2,8,4
,25 to 34,52,0,45,0,4,2,1,0,7,2
,35 to 49,109,0,102,0,3,3,1,0,7,4
,50 to 64,121,0,119,0,0,2,0,0,2,2
,65 to 74,56,0,55,0,0,1,0,0,0,0
,75 and over,36,0,34,0,2,0,0,0,1,0
S01004133,All people,820,10,780,3,11,13,2,1,38,11
,0 to 15,138,10,120,2,1,5,0,0,11,0
,16 to 19,43,0,41,0,1,1,0,0,2,0
,20 to 24,51,0,46,0,1,4,0,0,8,3
,25 to 34,92,0,85,1,5,0,0,1,8,3
,35 to 49,178,0,173,0,0,3,2,0,5,2
,50 to 64,163,0,160,0,3,0,0,0,0,3
,65 to 74,73,0,73,0,0,0,0,0,2,0
,75 and over,82,0,82,0,0,0,0,0,2,0
S01004134,All people,646,4,609,0,20,11,0,2,12,26
,0 to 15,83,4,71,0,7,1,0,0,1,3
,16 to 19,34,0,34,0,0,0,0,0,0,6
,20 to 24,28,0,26,0,0,2,0,0,2,5
,25 to 34,51,0,43,0,3,3,0,2,7,7
,35 to 49,119,0,111,0,6,2,0,0,0,3
,50 to 64,185,0,183,0,0,2,0,0,0,2
,65 to 74,106,0,102,0,4,0,0,0,0,0
,75 and over,40,0,39,0,0,1,0,0,2,0
S01004135,All people,633,11,553,12,38,14,1,4,38,6
,0 to 15,108,11,77,5,13,1,0,1,12,0
,16 to 19,31,0,31,0,0,0,0,0,3,1
,20 to 24,33,0,27,1,3,1,0,1,2,3
,25 to 34,91,0,67,5,8,9,0,2,10,0
,35 to 49,92,0,89,0,1,1,1,0,4,2
,50 to 64,118,0,113,1,2,2,0,0,3,0
,65 to 74,66,0,66,0,0,0,0,0,2,0
,75 and over,94,0,83,0,11,0,0,0,2,0
S01004136,All people,623,6,522,5,75,3,9,3,23,23
,0 to 15,137,6,91,4,32,0,3,1,5,3
,16 to 19,36,0,28,0,6,1,0,1,0,2
,20 to 24,42,0,32,0,8,2,0,0,7,3
,25 to 34,93,0,68,1,21,0,3,0,9,10
,35 to 49,120,0,112,0,7,0,1,0,2,4
,50 to 64,128,0,124,0,1,0,2,1,0,1
,65 to 74,50,0,50,0,0,0,0,0,0,0
,75 and over,17,0,17,0,0,0,0,0,0,0
S01004137,All people,575,5,505,8,15,27,7,8,26,35
,0 to 15,96,5,79,4,3,5,0,0,9,7
,16 to 19,20,0,18,0,1,1,0,0,2,5
,20 to 24,21,0,17,0,0,3,0,1,1,1
,25 to 34,55,0,35,1,1,5,7,6,0,14
,35 to 49,126,0,109,2,4,10,0,1,11,4
,50 to 64,145,0,139,1,2,3,0,0,1,4
,65 to 74,65,0,62,0,3,0,0,0,0,0
,75 and over,47,0,46,0,1,0,0,0,2,0
S01004138,All people,694,17,590,9,43,24,5,6,38,10
,0 to 15,126,17,98,0,7,4,0,0,9,1
,16 to 19,44,0,30,1,7,5,0,1,0,0
,20 to 24,52,0,34,2,8,5,2,1,6,0
,25 to 34,77,0,60,2,6,6,1,2,12,2
,35 to 49,152,0,138,2,10,2,0,0,5,2
,50 to 64,139,0,132,1,4,0,2,0,1,3
,65 to 74,66,0,62,1,0,2,0,1,2,1
,75 and over,38,0,36,0,1,0,0,1,3,1
S01004139,All people,561,7,523,1,16,8,3,3,13,8
,0 to 15,94,7,81,0,4,2,0,0,0,0
,16 to 19,37,0,36,0,1,0,0,0,1,2
,20 to 24,41,0,33,1,5,1,0,1,4,3
,25 to 34,75,0,64,0,2,4,3,2,4,1
,35 to 49,119,0,115,0,3,1,0,0,1,0
,50 to 64,121,0,120,0,1,0,0,0,3,0
,65 to 74,45,0,45,0,0,0,0,0,0,0
,75 and over,29,0,29,0,0,0,0,0,0,2
S01004140,All people,540,7,505,1,21,4,0,2,17,13
,0 to 15,99,7,81,0,11,0,0,0,1,2
,16 to 19,25,0,23,0,2,0,0,0,4,1
,20 to 24,25,0,25,0,0,0,0,0,3,1
,25 to 34,65,0,58,0,5,2,0,0,1,3
,35 to 49,109,0,104,0,3,2,0,0,4,4
,50 to 64,132,0,129,1,0,0,0,2,3,1
,65 to 74,59,0,59,0,0,0,0,0,1,1
,75 and over,26,0,26,0,0,0,0,0,0,0
S01004141,All people,673,5,641,0,5,15,3,4,23,8
,0 to 15,120,5,111,0,0,2,2,0,10,3
,16 to 19,29,0,29,0,0,0,0,0,0,0
,20 to 24,29,0,24,0,0,4,0,1,1,0
,25 to 34,82,0,72,0,1,5,1,3,11,2
,35 to 49,154,0,152,0,0,2,0,0,0,3
,50 to 64,145,0,145,0,0,0,0,0,1,0
,65 to 74,71,0,68,0,1,2,0,0,0,0
,75 and over,43,0,40,0,3,0,0,0,0,0
S01004142,All people,540,7,484,0,29,15,3,2,20,25
,0 to 15,130,7,108,0,11,4,0,0,5,5
,16 to 19,35,0,32,0,2,0,0,1,0,5
,20 to 24,26,0,21,0,2,3,0,0,5,5
,25 to 34,62,0,47,0,9,5,0,1,6,1
,35 to 49,130,0,122,0,4,1,3,0,4,6
,50 to 64,108,0,107,0,1,0,0,0,0,2
,65 to 74,31,0,30,0,0,1,0,0,0,1
,75 and over,18,0,17,0,0,1,0,0,0,0
S01004143,All people,846,6,781,3,39,11,4,2,45,15
,0 to 15,151,6,134,0,10,1,0,0,14,2
,16 to 19,37,0,31,0,5,0,0,1,3,2
,20 to 24,39,0,29,0,8,2,0,0,6,4
,25 to 34,95,0,80,0,10,2,2,1,11,4
,35 to 49,181,0,167,1,6,6,1,0,10,2
,50 to 64,147,0,145,2,0,0,0,0,1,0
,65 to 74,117,0,117,0,0,0,0,0,0,1
,75 and over,79,0,78,0,0,0,1,0,0,0
S01004144,All people,"1,319",28,"1,204",12,26,41,6,2,47,42
,0 to 15,275,28,227,3,9,6,1,1,13,7
,16 to 19,46,0,41,1,1,2,0,1,1,5
,20 to 24,48,0,42,1,2,2,1,0,1,8
,25 to 34,135,0,122,0,6,7,0,0,3,12
,35 to 49,354,0,330,5,5,12,2,0,10,6
,50 to 64,287,0,272,1,1,11,2,0,6,2
,65 to 74,103,0,101,1,1,0,0,0,3,1
,75 and over,71,0,69,0,1,1,0,0,10,1
S01004145,All people,626,6,568,0,37,10,5,0,18,10
,0 to 15,119,6,96,0,16,1,0,0,6,0
,16 to 19,37,0,33,0,3,1,0,0,0,1
,20 to 24,36,0,32,0,3,0,1,0,6,2
,25 to 34,59,0,54,0,0,4,1,0,4,4
,35 to 49,153,0,136,0,13,3,1,0,1,1
,50 to 64,115,0,110,0,2,1,2,0,1,2
,65 to 74,69,0,69,0,0,0,0,0,0,0
,75 and over,38,0,38,0,0,0,0,0,0,0
S01004146,All people,818,14,736,2,46,20,0,0,40,22
,0 to 15,176,14,152,0,7,3,0,0,13,5
,16 to 19,43,0,30,1,10,2,0,0,0,0
,20 to 24,44,0,33,0,7,4,0,0,6,3
,25 to 34,94,0,82,0,10,2,0,0,11,6
,35 to 49,222,0,205,1,9,7,0,0,3,6
,50 to 64,152,0,148,0,2,2,0,0,6,2
,65 to 74,48,0,47,0,1,0,0,0,0,0
,75 and over,39,0,39,0,0,0,0,0,1,0
S01004147,All people,709,17,629,0,33,25,2,3,40,11
,0 to 15,148,17,112,0,11,8,0,0,8,2
,16 to 19,33,0,30,0,3,0,0,0,1,2
,20 to 24,35,0,28,0,3,4,0,0,8,3
,25 to 34,76,0,63,0,8,3,0,2,6,2
,35 to 49,153,0,140,0,5,8,0,0,8,2
,50 to 64,132,0,125,0,3,2,2,0,7,0
,65 to 74,74,0,74,0,0,0,0,0,1,0
,75 and over,58,0,57,0,0,0,0,1,1,0
S01004148,All people,995,6,930,6,21,27,3,2,12,17
,0 to 15,163,6,152,3,2,0,0,0,0,0
,16 to 19,62,0,59,0,1,1,0,1,1,5
,20 to 24,45,0,40,0,1,3,1,0,1,5
,25 to 34,73,0,63,2,1,6,1,0,5,4
,35 to 49,193,0,190,0,3,0,0,0,3,1
,50 to 64,261,0,258,0,0,2,0,1,1,2
,65 to 74,98,0,94,0,1,3,0,0,1,0
,75 and over,100,0,74,1,12,12,1,0,0,0
S01004149,All people,851,15,764,4,56,12,0,0,56,10
,0 to 15,222,15,193,0,12,2,0,0,18,0
,16 to 19,65,0,60,0,4,1,0,0,8,1
,20 to 24,45,0,38,0,5,2,0,0,9,2
,25 to 34,103,0,93,0,7,3,0,0,12,4
,35 to 49,152,0,137,2,10,3,0,0,3,3
,50 to 64,102,0,98,0,3,1,0,0,1,0
,65 to 74,56,0,52,1,3,0,0,0,0,0
,75 and over,106,0,93,1,12,0,0,0,5,0
S01004150,All people,609,6,543,2,17,33,8,0,20,41
,0 to 15,81,6,68,0,5,2,0,0,0,3
,16 to 19,57,0,43,0,6,7,1,0,5,5
,20 to 24,66,0,54,1,0,10,1,0,4,10
,25 to 34,95,0,76,1,2,11,5,0,6,14
,35 to 49,113,0,108,0,2,2,1,0,4,5
,50 to 64,144,0,142,0,2,0,0,0,1,4
,65 to 74,42,0,41,0,0,1,0,0,0,0
,75 and over,11,0,11,0,0,0,0,0,0,0
S01004151,All people,"1,023",17,873,4,31,39,42,17,18,62
,0 to 15,303,17,243,1,9,11,14,8,8,16
,16 to 19,52,0,42,0,2,5,2,1,1,10
,20 to 24,55,0,35,1,8,4,5,2,2,7
,25 to 34,164,0,121,0,9,13,17,4,1,18
,35 to 49,214,0,203,2,0,3,4,2,6,8
,50 to 64,159,0,155,0,2,2,0,0,0,2
,65 to 74,47,0,45,0,1,1,0,0,0,1
,75 and over,29,0,29,0,0,0,0,0,0,0
S01004152,All people,752,11,665,15,38,18,5,0,55,14
,0 to 15,190,11,148,10,13,5,3,0,24,1
,16 to 19,58,0,51,1,3,3,0,0,2,1
,20 to 24,56,0,45,0,9,2,0,0,8,0
,25 to 34,74,0,65,2,4,3,0,0,11,7
,35 to 49,171,0,157,2,5,5,2,0,7,3
,50 to 64,109,0,106,0,3,0,0,0,2,0
,65 to 74,55,0,54,0,1,0,0,0,1,0
,75 and over,39,0,39,0,0,0,0,0,0,2
S01004153,All people,782,10,692,5,52,16,6,1,35,5
,0 to 15,106,10,87,0,6,3,0,0,8,0
,16 to 19,37,0,31,0,5,1,0,0,0,0
,20 to 24,54,0,30,3,15,5,1,0,5,1
,25 to 34,113,0,92,0,13,4,3,1,7,4
,35 to 49,170,0,161,0,7,1,1,0,6,0
,50 to 64,155,0,148,1,3,2,1,0,7,0
,65 to 74,69,0,68,0,1,0,0,0,0,0
,75 and over,78,0,75,1,2,0,0,0,2,0
S01004154,All people,625,4,573,14,15,16,2,1,22,16
,0 to 15,86,4,71,7,2,2,0,0,12,3
,16 to 19,20,0,18,0,2,0,0,0,1,1
,20 to 24,27,0,22,1,3,0,1,0,1,4
,25 to 34,51,0,35,1,4,9,1,1,4,3
,35 to 49,105,0,95,5,1,4,0,0,3,5
,50 to 64,171,0,169,0,1,1,0,0,1,0
,65 to 74,102,0,100,0,2,0,0,0,0,0
,75 and over,63,0,63,0,0,0,0,0,0,0
S01004155,All people,885,13,816,8,34,11,2,1,53,10
,0 to 15,222,13,191,2,15,0,1,0,13,0
,16 to 19,58,0,56,0,2,0,0,0,5,0
,20 to 24,52,0,48,0,4,0,0,0,8,2
,25 to 34,107,0,94,1,4,7,1,0,14,3
,35 to 49,179,0,167,3,4,4,0,1,7,3
,50 to 64,169,0,164,2,3,0,0,0,3,2
,65 to 74,57,0,56,0,1,0,0,0,0,0
,75 and over,41,0,40,0,1,0,0,0,3,0
S01004156,All people,963,17,869,0,53,24,0,0,43,19
,0 to 15,221,17,184,0,13,7,0,0,6,2
,16 to 19,54,0,50,0,3,1,0,0,6,7
,20 to 24,75,0,60,0,13,2,0,0,9,6
,25 to 34,155,0,132,0,15,8,0,0,7,2
,35 to 49,183,0,176,0,3,4,0,0,10,0
,50 to 64,161,0,153,0,6,2,0,0,2,1
,65 to 74,57,0,57,0,0,0,0,0,2,0
,75 and over,57,0,57,0,0,0,0,0,1,1
S01004157,All people,581,5,551,0,4,13,0,8,27,5
,0 to 15,108,5,92,0,2,5,0,4,6,0
,16 to 19,22,0,22,0,0,0,0,0,3,1
,20 to 24,22,0,22,0,0,0,0,0,4,2
,25 to 34,47,0,38,0,0,7,0,2,5,1
,35 to 49,126,0,122,0,2,0,0,2,5,0
,50 to 64,148,0,148,0,0,0,0,0,0,1
,65 to 74,78,0,77,0,0,1,0,0,3,0
,75 and over,30,0,30,0,0,0,0,0,1,0
S01004158,All people,579,4,505,2,37,29,2,0,38,39
,0 to 15,93,4,78,0,8,3,0,0,13,8
,16 to 19,28,0,22,0,4,1,1,0,4,3
,20 to 24,32,0,22,1,2,7,0,0,1,3
,25 to 34,69,0,53,1,7,7,1,0,6,15
,35 to 49,144,0,125,0,9,10,0,0,12,7
,50 to 64,111,0,105,0,5,1,0,0,1,3
,65 to 74,58,0,56,0,2,0,0,0,1,0
,75 and over,44,0,44,0,0,0,0,0,0,0
S01004159,All people,358,1,335,0,10,10,0,2,17,9
,0 to 15,76,1,66,0,6,3,0,0,7,1
,16 to 19,22,0,22,0,0,0,0,0,0,5
,20 to 24,19,0,16,0,0,1,0,2,4,1
,25 to 34,38,0,33,0,1,4,0,0,4,1
,35 to 49,84,0,80,0,2,2,0,0,2,1
,50 to 64,68,0,67,0,1,0,0,0,0,0
,65 to 74,37,0,37,0,0,0,0,0,0,0
,75 and over,14,0,14,0,0,0,0,0,0,0
S01004160,All people,646,4,597,5,18,15,1,6,31,33
,0 to 15,105,4,94,0,2,4,0,1,7,3
,16 to 19,33,0,32,0,0,0,0,1,1,4
,20 to 24,41,0,33,0,6,1,0,1,4,11
,25 to 34,70,0,63,0,2,5,0,0,6,5
,35 to 49,160,0,146,5,3,4,1,1,6,6
,50 to 64,143,0,138,0,4,1,0,0,3,3
,65 to 74,48,0,45,0,1,0,0,2,2,0
,75 and over,46,0,46,0,0,0,0,0,2,1
S01004161,All people,548,8,480,2,18,32,7,1,19,43
,0 to 15,88,8,72,0,6,2,0,0,6,4
,16 to 19,18,0,18,0,0,0,0,0,3,6
,20 to 24,30,0,21,0,4,2,3,0,2,3
,25 to 34,67,0,50,1,5,10,1,0,7,12
,35 to 49,141,0,123,1,3,11,2,1,1,10
,50 to 64,126,0,119,0,0,6,1,0,0,6
,65 to 74,51,0,50,0,0,1,0,0,0,2
,75 and over,27,0,27,0,0,0,0,0,0,0
S01004162,All people,"2,023",43,"1,647",3,125,186,14,5,44,82
,0 to 15,494,43,386,0,31,31,3,0,10,18
,16 to 19,84,0,72,1,6,5,0,0,4,6
,20 to 24,125,0,88,0,10,26,0,1,8,20
,25 to 34,389,0,269,1,41,74,2,2,6,12
,35 to 49,580,0,503,0,33,39,4,1,12,25
,50 to 64,249,0,231,1,3,10,4,0,2,1
,65 to 74,69,0,66,0,1,1,1,0,1,0
,75 and over,33,0,32,0,0,0,0,1,1,0
S01004163,All people,662,8,595,4,25,29,0,1,33,13
,0 to 15,145,8,126,1,8,2,0,0,7,1
,16 to 19,40,0,35,0,4,0,0,1,7,2
,20 to 24,53,0,37,2,6,8,0,0,5,2
,25 to 34,70,0,57,0,3,10,0,0,4,4
,35 to 49,140,0,133,1,2,4,0,0,8,4
,50 to 64,158,0,151,0,2,5,0,0,1,0
,65 to 74,25,0,25,0,0,0,0,0,1,0
,75 and over,31,0,31,0,0,0,0,0,0,0
S01004164,All people,860,9,783,11,29,21,1,6,24,24
,0 to 15,151,9,131,3,4,0,0,4,3,3
,16 to 19,43,0,38,0,1,4,0,0,3,2
,20 to 24,49,0,39,2,3,4,1,0,4,5
,25 to 34,71,0,55,3,7,6,0,0,5,4
,35 to 49,205,0,190,1,9,3,0,2,2,1
,50 to 64,181,0,176,2,2,1,0,0,5,8
,65 to 74,76,0,73,0,0,3,0,0,1,1
,75 and over,84,0,81,0,3,0,0,0,1,0
S01004165,All people,969,10,891,4,48,10,4,2,49,11
,0 to 15,171,10,140,2,16,2,1,0,13,0
,16 to 19,63,0,55,1,5,2,0,0,9,0
,20 to 24,68,0,60,0,6,1,0,1,9,3
,25 to 34,100,0,83,0,14,2,0,1,5,5
,35 to 49,259,0,247,1,6,3,2,0,9,1
,50 to 64,197,0,195,0,1,0,1,0,3,2
,65 to 74,79,0,79,0,0,0,0,0,0,0
,75 and over,32,0,32,0,0,0,0,0,1,0
S01004166,All people,744,5,687,0,23,19,6,4,18,22
,0 to 15,150,5,135,0,5,3,1,1,3,4
,16 to 19,37,0,34,0,2,1,0,0,0,2
,20 to 24,40,0,34,0,2,4,0,0,4,5
,25 to 34,86,0,71,0,9,3,1,2,5,4
,35 to 49,169,0,159,0,2,5,2,1,3,3
,50 to 64,167,0,160,0,3,3,1,0,2,4
,65 to 74,45,0,44,0,0,0,1,0,0,0
,75 and over,50,0,50,0,0,0,0,0,1,0
